Data,Empregados - saldo - novo Caged - Pessoa - Ministério da Economia- Secretaria Especial de Previdência e Trabalho- Cadastro Geral de Empregados e Desempregados (Min. Economia/SEPRT/Novo Caged) - CAGED12_SALDON12,
2020.01,92678,
2020.02,198368,
2020.03,-232316,
2020.04,-902317,
2020.05,-352790,
2020.06,-23111,
2020.07,123297,
2020.08,238125,
2020.09,313564,
2020.10,388938,
2020.11,408948,
2020.12,-82118,
2021.01,257059,
2021.02,397915,
2021.03,176330,
2021.04,113922,
2021.05,278705,
2021.06,310036,
2021.07,316725,
2021.08,373344,
2021.09,316993,
2021.10,253083,
2021.11,324112,
2021.12,-265811,
2022.01,155178,
2022.02,328507,
2022.03,136189,
2022.04,196966,
2022.05,277018,
2022.06,277944,
2022.07,218902,
2022.08,278639,
2022.09,278085,
2022.10,159454,
2022.11,135495,
